ColumnName,Description
Date,"measurement date - around 11 days old , when nesltling body mass is recorded"
BirdID,individual fledgling identity - four letter code
Group,identity of pied babbler group - three letter code
Season,"identity of breeding season - single letter code, represents the time period September to March"
AgeMeasD,nestling age in days on the measurement day - age since hatching
Sex,"male or female, determined by molecular sexing from blood samples taken on the measurement day"
NestID,"Identity of the nest in which the nestling was raised - equivalent to the brood identity. Code = Group ID, N for nest, number - for number of nest with 1 being the first clutch laid and incubated in the season, season ID"
GrpSizeAD,Number of adult group members including both members of the dominant pair and all subordinate group members older than 1 year
GrpSizeTotal,Total number of group members including birds less than one year old
PairTenure,Number of consecutive seasons that the same two birds have made the dominant pair at the group
BroodSize,Number of nestlings in the brood on the measurement day
NoMales,Number of nestlings in the brood on the measurement day that were male
BroodSexRatio,ratio of male to female nestlings in the brood
Mass,nestling mass measured to 0.1g on the measurement day (Date)
SurvInd,"Whether or not the nestling survived to nutritional independence at 90 days of age where 0 = died, 1 = survived"
SurvPeriod,"Number of days the individual survived, maximum is 90 days at which age they have achieved nutritional independence"
SurvMassAtInd,"mass measured to 0.1g within 15 days either side of the individual reaching 90 days of age, where available"
Surv1Yr,"whether or not the individual survived to 1 year of age, where 0 = died, 1 = survived"
Surv1Mass,"mass measured to 0.1g within 15 days either side of the individual reaching 1 year of age, where available"
MeanTmaxInc,Mean daily maximum air temperature between start of incubation and hatching 
MeanTmaxBrood,Mean daily maximum air temperature between start of hatching and fledging 
MeanTmaxInd,Mean daily maximum air temperature between fledging and nutritional independence at 90 days or death
MeanTminInc,Mean daily minimum air temperature between start of incubation and hatching 
MeanTminBrood,Mean daily minimum air temperature between start of hatching and fledging 
MeanTmin90,Mean daily minimum air temperature between fledging and nutritional independence at 90 days or death
MeanTvarInc,Mean daily air temperature variation (maximum - minimum) between start of incubation and hatching 
MeanTvarBrood,Mean daily air temperature variation (maximum - minimum) between start of hatching and fledging 
MeanTvar90,Mean daily air temperature variation (maximum-minimum) between fledging and nutritional independence at 90 days or death
HWaveInc,number of heat waves (three or more consecutive days with maximum air temperature equal to or exceeding 35.5 degrees C) between start of incubation and hatching
NoHotDaysInc,number of days with maximum air temperature equal to or exceeding 35.5 degrees C between start of incubation and hatching
PropHotDaysInc,proportion of days with maximum air temperature equal to or exceeding 35.5 degrees C between start of incubation and hatching
HWaveBr,number of heat waves (three or more consecutive days with maximum air temperature equal to or exceeding 35.5 degrees C) between hatching and fledging
NoHotDaysBr,number of days with maximum air temperature equal to or exceeding 35.5 degrees C between hatching and fledging
PropHotDaysBr,proportion of days with maximum air temperature equal to or exceeding 35.5 degrees C between hatching and fledging
NoHotDays90,number of days with maximum air temperature equal to or exceeding 35.5 degrees C between fledging and nutritional independence at 90 days or death
PropHotDays90,proportion of days with maximum air temperature equal to or exceeding 35.5 degrees C between fledging nutritional independence at 90 days or death
RainTwoMonthsPrior,Total rainfall in the 60 days prior to the start of incubation
Rain90,Total rainfall between fledging and nutritional independence
Drought,"Whether or not the breeding seasn (Sept-Mar) was classifed at a drought (rainfall <=137mm), where 0 = no drought, 1 = drought"
